locustag;genename;annotation;KEGG Orthology;database;MainCategory;MainPathway;Category;undefined;Pathway;Complex/Type;Details;Summary
sll0721;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
sll0721;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
psiR1, sll1552, sll0720;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1652;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr1653;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1550;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1655, smr0004;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr1656;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
slr1656;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
slr1657, slr1658, slr1659;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1077;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gai;;transcriptional units - TU type: gai
slr1660;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1547;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
sll1546;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr1661;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1545;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1665;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
ssr1765, ssr1766, slr1078;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gi;;transcriptional units - TU type: gi
slr1666, ssr2781;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1544;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU3655;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
ssr2784;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
ssl2999;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gai;;transcriptional units - TU type: gai
slr1667;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU3659;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr1079;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
TU3660;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr1668, ssr2786;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
ssl2996;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gai;;transcriptional units - TU type: gai
TU3664;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
ssr2787;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr0451;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr0452, slr0453;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr0454;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
slr0454;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
slr0455, slr0456;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
ncr1710, slr0459;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
ncr1720, slr0460;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1176, slr1177;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
TU368;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr1178, slr1179;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1181;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
slr1181;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
slr1186;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr1187, slr1188, slr1189;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1192;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr0585;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr1081, slr1082, slr1083, slr1084, slr1085, slr1087;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr0587;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr0589, slr0590;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gi;;transcriptional units - TU type: gi
slr0591;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU3696;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: n;;transcriptional units - TU type: n
sll0569, ncl1780;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr0594;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1484, slr1485, slr1488;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
sll0567;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr0596, slr0597;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll0565;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gai;;transcriptional units - TU type: gai
slr0598, slr0599;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr0599;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
slr0599;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
slr0600;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr0601;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr0602;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr0603;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
ssl1972, sll1025;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr0604;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU3712;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr0605;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr0606;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr0607;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr0608;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr0609, slr0610;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
ncl1800, SyR52;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
TU372;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
slr0611;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
sll1022, sll1023, sll1024;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU376;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
sll1021;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gai;;transcriptional units - TU type: gai
sll1020;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr1090;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
ssr1789;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
TU381;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
sll1018;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
sll1017, sll1018;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1400, slr0670;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll0654, ncl0120, sll0656;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU389;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr1489, slr1490;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU390;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
TU392;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr0676, slr0677, slr0678, slr0679;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU396;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
TU397;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr0679;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
slr0680, slr0681;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr0613;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr0682;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll0650, sll0651;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll0648, sll0649;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
sll0647;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gai;;transcriptional units - TU type: gai
sll0645, sll0646;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
sll0643;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
ncr0190, slr0687;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU41;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
TU412;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
TU414;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
sll0640;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
slr0688;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
TU419;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
ncr0200;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: an;;transcriptional units - TU type: an
TU421;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: an;;transcriptional units - TU type: an
ncr0200, ssr1155, slr0689;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll0639;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU425;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
sll0638;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
sll0638;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr0692;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll0634, sll0635;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
TU43;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
6803t06, slr0695, slr1590;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
ncr0210;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: n;;transcriptional units - TU type: n
ncr0210;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: n;;transcriptional units - TU type: n
slr1593, slr1594, slr1595;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1516;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1596;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU440;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
sll1515;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
ncr0220, slr1597;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1514;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1513;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
sll1512;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1598;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU45;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr1599;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1600;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
smr0005;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr1601;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1507;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU458;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr1603;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1398, sll1399, ssl2733, sll1400, sll1401;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1604;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
ncl0150, sll1503, sll1504, sll1505;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1502;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU468;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
ssr2708, ssr2710, ssr2711;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU472;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr1608;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU474;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
ncl0160;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
slr1609;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: i;;transcriptional units - TU type: i
slr1609;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
slr1041;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU48;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
TU480;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr1042, slr1043, slr1044, slr1045, slr1046;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU482;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr1047, slr1048;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1011;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
ssr1736, slr1050;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1495, slr1496;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1051, slr1052;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
ncl0170, sll1009;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr1055;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr1056;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1006;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU499;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
sll0558;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1394, sll1395, sll1396, sll1397;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll1004;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
sll5002, ssl5001;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
sll5004, sll5003;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
TU5004;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: n;;transcriptional units - TU type: n
slr5005;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU5008;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
sll1003;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr5005;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
slr5005;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
TU5013;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
TU5015;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr5005;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
TU5020;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
sll5006;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr5010;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
ssr5020, slr5021, slr5022;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
TU5027;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
TU5028;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
sll1002, ssl1920;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
sll5028, ssl5027;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr5029;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll5036, sll5035, sll5034, sll5033, sll5032, ssl5031;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr5037, slr5038;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
ssl1918, sll1001;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
sll5041;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
slr1753;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU5050;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
sll5046, ssl5045, sll5044, sll5043;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll5048;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gai;;transcriptional units - TU type: gai
sll5049;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gi;;transcriptional units - TU type: gi
slr5051;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll5052;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
slr5053, slr5054;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU5061;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr5055, slr5056;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
sll5057;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU5066;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: a;;transcriptional units - TU type: a
slr5058;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ai;;transcriptional units - TU type: ai
sll5059;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gai;;transcriptional units - TU type: gai
sll5061, sll5060;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: gai;;transcriptional units - TU type: gai
sll5063;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: ga;;transcriptional units - TU type: ga
TU5078;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: an;;transcriptional units - TU type: an
slr1755;Manually added;;;transcriptional units;;;transcriptional units;transcriptional units;transcriptional units;TU type: g;;transcriptional units - TU type: g
